训练轮次,平均奖励,电压越限次数,PSH约束违反,PSH保持次数,PSH发电次数,PSH抽水次数,PSH停止次数,上水库SOC,下水库SOC,电压最小值,电压最大值,总损失,Actor损失,Critic损失,评估奖励
1,7.5689,27,0,153,165,182,172,0.43,0.297,0.9464,1.0466,0.775109,0.00017,1.577604,
2,9.363,51,0,157,172,173,170,0.419,0.084,0.9459,1.0465,1.214951,0.00338,2.450866,
3,7.5437,28,0,158,164,167,183,0.286,0.413,0.946,1.0466,0.760185,-0.007139,1.562373,
4,7.3517,19,0,172,155,179,166,0.34,0.45,0.9469,1.0466,0.726696,0.001899,1.477319,
5,7.4918,22,0,165,165,166,176,0.261,0.494,0.9459,1.0466,0.736389,-0.001518,1.503539,
6,7.5146,45,0,159,179,174,160,0.35,0.205,0.9461,1.0465,0.75355,0.004836,1.52515,
7,7.6769,43,0,155,185,175,157,0.29,0.272,0.9463,1.0467,0.775763,0.002204,1.574838,
8,7.5045,24,0,156,156,196,164,0.487,0.273,0.9459,1.0464,0.743697,-0.001442,1.517996,
9,7.7963,29,0,138,165,187,182,0.406,0.3,0.9463,1.0468,0.785214,-0.000595,1.599333,
10,7.4258,35,0,163,199,137,173,0.308,0.328,0.9464,1.0465,0.69459,-0.003191,1.423276,9.9799
11,8.1169,21,0,168,164,167,173,0.174,0.578,0.9462,1.0468,0.841731,-0.001886,1.714944,
12,7.7518,42,0,133,157,205,177,0.319,0.253,0.946,1.0465,0.772568,0.0048,1.563244,
13,7.6317,21,0,150,166,190,166,0.366,0.408,0.9456,1.0464,0.73235,0.003324,1.485754,
14,9.3029,47,0,166,170,180,156,0.06,0.437,0.9458,1.0465,1.115624,-0.001437,2.261822,
15,9.7112,19,0,149,184,160,179,0.094,0.668,0.9466,1.0465,1.169974,0.000719,2.366207,
16,9.6891,22,0,158,180,165,169,0.779,0.027,0.9456,1.0457,1.155061,-0.001787,2.341393,
17,7.7236,37,0,142,188,170,172,0.371,0.257,0.9465,1.0466,0.693394,0.004165,1.406156,
18,7.7398,18,0,152,174,179,167,0.347,0.446,0.9466,1.0465,0.673265,-0.001849,1.377919,
19,7.374,24,0,165,172,152,183,0.24,0.492,0.946,1.0464,0.59631,-5.1e-05,1.220409,
20,7.8061,26,0,142,149,183,198,0.283,0.435,0.9466,1.0465,0.667707,-0.001198,1.365491,9.9895
21,7.8131,33,0,142,190,175,165,0.371,0.292,0.9461,1.0466,0.649854,-0.002876,1.333137,
22,9.4166,45,0,146,196,159,171,0.053,0.46,0.9464,1.0466,1.002603,0.005374,2.022133,
23,8.0138,18,0,124,162,186,200,0.296,0.499,0.9473,1.0468,0.662592,-0.000299,1.353449,
24,7.6474,32,0,152,152,193,175,0.339,0.325,0.9464,1.0466,0.58947,0.001348,1.203907,
25,7.9929,30,0,130,205,183,154,0.495,0.214,0.9457,1.0465,0.62897,0.004196,1.277204,
26,7.6723,27,0,151,164,187,170,0.349,0.365,0.9461,1.0465,0.556797,0.000434,1.140377,
27,7.5436,35,0,156,172,177,167,0.418,0.238,0.9463,1.0466,0.556797,0.000434,1.140377,
28,7.7381,20,0,143,168,167,194,0.377,0.41,0.9458,1.0459,0.541818,-0.005366,1.122009,
29,7.7684,26,0,139,177,173,183,0.357,0.373,0.9457,1.0461,0.543512,-0.004056,1.122772,
30,7.9951,22,0,124,163,178,207,0.337,0.429,0.9468,1.0471,0.563086,0.001027,1.151746,10.0
31,7.6036,36,0,151,159,168,194,0.355,0.274,0.9462,1.0465,0.483098,-0.003045,0.999911,
32,7.758,17,0,142,174,190,166,0.565,0.271,0.9473,1.0468,0.483098,-0.003045,0.999911,
